season,game_date,game_pk,market,side,home_team,away_team,bet_odds_timestamp,bet_snapshot_source,bet_price,wager_price,selected_open_price
2024,2024-05-16,745907,ML,HOME,Minnesota Twins,New York Yankees,2024-05-16 12:00:00+00:00,HistoricalBasic,-104.0,-104.0,-104.0
2024,2024-05-17,746878,ML,AWAY,Chicago Cubs,Pittsburgh Pirates,2024-05-17 12:00:00+00:00,HistoricalBasic,100.0,100.0,100.0
2024,2024-05-17,747037,ML,AWAY,Baltimore Orioles,Seattle Mariners,2024-05-17 12:00:00+00:00,HistoricalBasic,112.0,112.0,112.0
2024,2024-05-20,747121,ML,HOME,Atlanta Braves,San Diego Padres,2024-05-20 12:00:00+00:00,HistoricalBasic,-134.0,-134.0,-134.0
2024,2024-05-22,744856,ML,HOME,Washington Nationals,Minnesota Twins,2024-05-22 12:00:00+00:00,HistoricalBasic,120.0,120.0,120.0
2024,2024-05-24,745822,ML,HOME,New York Mets,San Francisco Giants,2024-05-24 12:00:00+00:00,HistoricalBasic,-122.0,-122.0,-122.0
2024,2024-05-25,745411,ML,AWAY,San Diego Padres,New York Yankees,2024-05-25 12:00:00+00:00,HistoricalBasic,100.0,100.0,100.0
2024,2024-05-26,745088,ML,HOME,Tampa Bay Rays,Kansas City Royals,2024-05-26 12:00:00+00:00,HistoricalBasic,-118.0,-118.0,-118.0
2024,2024-05-27,745338,ML,HOME,San Francisco Giants,Philadelphia Phillies,2024-05-27 12:00:00+00:00,HistoricalBasic,-102.0,-102.0,-102.0
2024,2024-05-28,745017,ML,HOME,Texas Rangers,Arizona Diamondbacks,2024-05-28 12:00:00+00:00,HistoricalBasic,100.0,100.0,100.0
2024,2024-05-29,746468,ML,AWAY,Detroit Tigers,Pittsburgh Pirates,2024-05-29 12:00:00+00:00,HistoricalBasic,120.0,120.0,120.0
2024,2024-06-01,744932,ML,AWAY,Toronto Blue Jays,Pittsburgh Pirates,2024-06-01 12:00:00+00:00,HistoricalBasic,122.0,122.0,122.0
2024,2024-06-01,746062,ML,HOME,Miami Marlins,Texas Rangers,2024-06-01 12:00:00+00:00,HistoricalBasic,114.0,114.0,114.0
2024,2024-06-03,745009,ML,HOME,Texas Rangers,Detroit Tigers,2024-06-03 12:00:00+00:00,HistoricalBasic,-102.0,-102.0,-102.0
2024,2024-06-04,745010,ML,HOME,Texas Rangers,Detroit Tigers,2024-06-04 12:00:00+00:00,HistoricalBasic,100.0,100.0,100.0
2024,2024-06-04,746630,ML,HOME,Cleveland Guardians,Kansas City Royals,2024-06-04 12:00:00+00:00,HistoricalBasic,-124.0,-124.0,-124.0
2024,2024-06-06,745408,ML,AWAY,San Diego Padres,Arizona Diamondbacks,2024-06-06 12:00:00+00:00,HistoricalBasic,108.0,108.0,108.0
2024,2024-06-07,745083,ML,HOME,Tampa Bay Rays,Baltimore Orioles,2024-06-07 12:00:00+00:00,HistoricalBasic,100.0,100.0,100.0
2024,2024-06-07,746785,ML,HOME,Chicago White Sox,Boston Red Sox,2024-06-07 12:00:00+00:00,HistoricalBasic,-106.0,-106.0,-106.0
2024,2024-06-08,745492,ML,HOME,Pittsburgh Pirates,Minnesota Twins,2024-06-08 12:00:00+00:00,HistoricalBasic,100.0,100.0,100.0
2024,2024-06-10,745982,ML,HOME,Milwaukee Brewers,Toronto Blue Jays,2024-06-10 12:00:00+00:00,HistoricalBasic,-104.0,-104.0,-104.0
2024,2024-06-11,745404,ML,AWAY,San Diego Padres,Oakland Athletics,2024-06-11 12:00:00+00:00,HistoricalBasic,126.0,126.0,126.0
2024,2024-06-11,746702,ML,HOME,Cincinnati Reds,Cleveland Guardians,2024-06-11 12:00:00+00:00,HistoricalBasic,106.0,106.0,106.0
2024,2024-06-11,745077,ML,HOME,Tampa Bay Rays,Chicago Cubs,2024-06-11 12:00:00+00:00,HistoricalBasic,-130.0,-130.0,-130.0
2024,2024-06-13,745075,ML,HOME,Tampa Bay Rays,Chicago Cubs,2024-06-13 12:00:00+00:00,HistoricalBasic,-102.0,-102.0,-102.0
2024,2024-06-14,745810,ML,HOME,New York Mets,San Diego Padres,2024-06-14 12:00:00+00:00,HistoricalBasic,100.0,100.0,100.0
2024,2024-06-15,747187,ML,HOME,Arizona Diamondbacks,Chicago White Sox,2024-06-15 12:00:00+00:00,HistoricalBasic,-152.0,-152.0,-152.0
2024,2024-06-15,745805,ML,HOME,New York Mets,San Diego Padres,2024-06-15 12:00:00+00:00,HistoricalBasic,-124.0,-124.0,-124.0
2024,2024-06-17,744918,ML,AWAY,Toronto Blue Jays,Boston Red Sox,2024-06-17 12:00:00+00:00,HistoricalBasic,110.0,110.0,110.0
2024,2024-06-18,746867,ML,HOME,Chicago Cubs,San Francisco Giants,2024-06-18 12:00:00+00:00,HistoricalBasic,-102.0,-102.0,-102.0
2024,2024-06-19,746781,ML,HOME,Chicago White Sox,Houston Astros,2024-06-19 12:00:00+00:00,HistoricalBasic,100.0,100.0,100.0
2024,2024-06-20,746626,ML,HOME,Cleveland Guardians,Seattle Mariners,2024-06-20 12:00:00+00:00,HistoricalBasic,100.0,100.0,100.0
2024,2024-06-21,745729,ML,HOME,New York Yankees,Atlanta Braves,2024-06-21 12:00:00+00:00,HistoricalBasic,106.0,106.0,106.0
2024,2024-06-21,746624,ML,HOME,Cleveland Guardians,Toronto Blue Jays,2024-06-21 12:00:00+00:00,HistoricalBasic,-118.0,-118.0,-118.0
2024,2024-06-22,746863,ML,AWAY,Chicago Cubs,New York Mets,2024-06-22 12:00:00+00:00,HistoricalBasic,102.0,102.0,102.0
2024,2024-06-22,745402,ML,AWAY,San Diego Padres,Milwaukee Brewers,2024-06-22 12:00:00+00:00,HistoricalBasic,108.0,108.0,108.0
2024,2024-06-22,746622,ML,HOME,Cleveland Guardians,Toronto Blue Jays,2024-06-22 12:00:00+00:00,HistoricalBasic,-120.0,-120.0,-120.0
2024,2024-06-23,745727,ML,HOME,New York Yankees,Atlanta Braves,2024-06-23 12:00:00+00:00,HistoricalBasic,100.0,100.0,100.0
2024,2024-06-23,746862,ML,HOME,Chicago Cubs,New York Mets,2024-06-23 12:00:00+00:00,HistoricalBasic,-106.0,-106.0,-106.0
2024,2024-06-24,745323,ML,AWAY,San Francisco Giants,Chicago Cubs,2024-06-24 12:00:00+00:00,HistoricalBasic,110.0,110.0,110.0
2024,2024-06-24,745078,ML,HOME,Tampa Bay Rays,Seattle Mariners,2024-06-24 12:00:00+00:00,HistoricalBasic,102.0,102.0,102.0
2024,2024-06-25,745973,ML,AWAY,Milwaukee Brewers,Texas Rangers,2024-06-25 12:00:00+00:00,HistoricalBasic,102.0,102.0,102.0
2024,2024-06-25,745399,ML,AWAY,San Diego Padres,Washington Nationals,2024-06-25 12:00:00+00:00,HistoricalBasic,116.0,116.0,116.0
