season,game_date,game_pk,market,side,home_team,away_team,close_odds_timestamp,closing_snapshot_source,game_start_time_utc,clv_locked_before_game,close_line,selected_close_price,closing_total,clv_price_delta,clv_implied_probability_delta,clv_result
2024,2024-09-12,746591,OU,OVER,Cleveland Guardians,Tampa Bay Rays,2024-09-12 23:55:00+00:00,HistoricalBasic,2024-09-12 23:59:00+00:00,True,7.5,-115.0,7.5,0.0,,PUSH
2024,2024-09-13,745286,OU,OVER,San Francisco Giants,San Diego Padres,2024-09-13 23:55:00+00:00,HistoricalBasic,2024-09-13 23:59:00+00:00,True,7.0,100.0,7.0,0.5,,WIN
2024,2024-09-14,745284,OU,OVER,San Francisco Giants,San Diego Padres,2024-09-14 23:55:00+00:00,HistoricalBasic,2024-09-14 23:59:00+00:00,True,7.5,-115.0,7.5,0.0,,PUSH
2024,2024-09-14,745448,OU,OVER,Pittsburgh Pirates,Kansas City Royals,2024-09-14 23:55:00+00:00,HistoricalBasic,2024-09-14 23:59:00+00:00,True,8.0,-115.0,8.0,0.0,,PUSH
2024,2024-09-15,745693,OU,OVER,New York Yankees,Boston Red Sox,2024-09-15 23:55:00+00:00,HistoricalBasic,2024-09-15 23:59:00+00:00,True,8.5,-110.0,8.5,0.0,,PUSH
2024,2024-09-16,746179,OU,OVER,Los Angeles Angels,Chicago White Sox,2024-09-16 23:55:00+00:00,HistoricalBasic,2024-09-16 23:59:00+00:00,True,8.0,-105.0,8.0,0.0,,PUSH
2024,2024-09-17,745366,OU,OVER,San Diego Padres,Houston Astros,2024-09-17 23:55:00+00:00,HistoricalBasic,2024-09-17 23:59:00+00:00,True,7.0,-140.0,7.0,0.0,,PUSH
2024,2024-09-18,746582,OU,OVER,Cleveland Guardians,Minnesota Twins,2024-09-18 23:55:00+00:00,HistoricalBasic,2024-09-18 23:59:00+00:00,True,7.0,-140.0,7.0,-0.5,,LOSS
2024,2024-09-20,745364,OU,OVER,San Diego Padres,Chicago White Sox,2024-09-20 23:55:00+00:00,HistoricalBasic,2024-09-20 23:59:00+00:00,True,7.0,-105.0,7.0,0.0,,PUSH
2024,2024-09-24,747149,OU,OVER,Arizona Diamondbacks,San Francisco Giants,2024-09-24 23:55:00+00:00,HistoricalBasic,2024-09-24 23:59:00+00:00,True,8.0,-115.0,8.0,0.0,,PUSH
2024,2024-09-24,746581,OU,OVER,Cleveland Guardians,Cincinnati Reds,2024-09-24 23:55:00+00:00,HistoricalBasic,2024-09-24 23:59:00+00:00,True,8.5,-110.0,8.5,1.0,,WIN
2024,2024-09-25,745442,OU,OVER,Pittsburgh Pirates,Milwaukee Brewers,2024-09-25 23:55:00+00:00,HistoricalBasic,2024-09-25 23:59:00+00:00,True,7.5,-120.0,7.5,0.0,,PUSH
2024,2024-09-25,744795,OU,OVER,Washington Nationals,Kansas City Royals,2024-09-25 23:55:00+00:00,HistoricalBasic,2024-09-25 23:59:00+00:00,True,7.5,-115.0,7.5,0.0,,PUSH
2024,2024-09-27,746173,OU,OVER,Los Angeles Angels,Texas Rangers,2024-09-27 23:55:00+00:00,HistoricalBasic,2024-09-27 23:59:00+00:00,True,7.5,100.0,7.5,0.0,,PUSH
2024,2024-09-28,744799,OU,OVER,Washington Nationals,Philadelphia Phillies,2024-09-28 23:55:00+00:00,HistoricalBasic,2024-09-28 23:59:00+00:00,True,8.0,-105.0,8.0,0.5,,WIN
2024,2024-09-29,746820,OU,OVER,Chicago Cubs,Cincinnati Reds,2024-09-29 23:55:00+00:00,HistoricalBasic,2024-09-29 23:59:00+00:00,True,7.0,-115.0,7.0,0.0,,PUSH
2024,2024-09-29,746416,OU,OVER,Detroit Tigers,Chicago White Sox,2024-09-29 23:55:00+00:00,HistoricalBasic,2024-09-29 23:59:00+00:00,True,7.5,-110.0,7.5,0.0,,PUSH
