season,game_date,game_pk,market,side,home_team,away_team,close_odds_timestamp,closing_snapshot_source,game_start_time_utc,clv_locked_before_game,close_price,selected_close_price,clv_price_delta,clv_implied_probability_delta,clv_result
2025,2025-08-02,776912,ML,AWAY,Philadelphia Phillies,Detroit Tigers,2025-08-02 23:55:00+00:00,HistoricalBasic,2025-08-02 23:59:00+00:00,True,-122.0,-122.0,-20.0,0.044599054500044644,WIN
2025,2025-08-03,776892,ML,AWAY,Cleveland Guardians,Minnesota Twins,2025-08-03 23:55:00+00:00,HistoricalBasic,2025-08-03 23:59:00+00:00,True,-320.0,-320.0,-456.0,0.33817594834543985,WIN
2025,2025-08-03,776907,ML,HOME,Cincinnati Reds,Atlanta Braves,2025-08-03 23:55:00+00:00,HistoricalBasic,2025-08-03 23:59:00+00:00,True,-122.0,-122.0,-236.0,0.08225982992338138,WIN
2025,2025-08-03,776881,ML,HOME,Athletics,Arizona Diamondbacks,2025-08-03 23:55:00+00:00,HistoricalBasic,2025-08-03 23:59:00+00:00,True,-130.0,-130.0,-238.0,0.084448160535117,WIN
2025,2025-08-04,776875,ML,HOME,Miami Marlins,Houston Astros,2025-08-04 23:55:00+00:00,HistoricalBasic,2025-08-04 23:59:00+00:00,True,-130.0,-130.0,-26.0,0.055413469735720366,WIN
2025,2025-08-05,776852,ML,HOME,Arizona Diamondbacks,San Diego Padres,2025-08-05 23:55:00+00:00,HistoricalBasic,2025-08-05 23:59:00+00:00,True,-122.0,-122.0,-238.0,0.08658658658658663,WIN
2025,2025-08-06,776850,ML,AWAY,Washington Nationals,Athletics,2025-08-06 23:55:00+00:00,HistoricalBasic,2025-08-06 23:59:00+00:00,True,-144.0,-144.0,-14.0,0.024946543121881715,WIN
2025,2025-08-08,776827,ML,AWAY,Minnesota Twins,Kansas City Royals,2025-08-08 23:55:00+00:00,HistoricalBasic,2025-08-08 23:59:00+00:00,True,-148.0,-148.0,-258.0,0.12058371735791096,WIN
2025,2025-08-08,776829,ML,AWAY,Pittsburgh Pirates,Cincinnati Reds,2025-08-08 23:55:00+00:00,HistoricalBasic,2025-08-08 23:59:00+00:00,True,-124.0,-124.0,-224.0,0.0535714285714286,WIN
2025,2025-08-09,776818,ML,AWAY,St. Louis Cardinals,Chicago Cubs,2025-08-09 23:55:00+00:00,HistoricalBasic,2025-08-09 23:59:00+00:00,True,-310.0,-310.0,-204.0,0.24153445417949326,WIN
2025,2025-08-09,776812,ML,HOME,Pittsburgh Pirates,Cincinnati Reds,2025-08-09 23:55:00+00:00,HistoricalBasic,2025-08-09 23:59:00+00:00,True,-108.0,-108.0,-208.0,0.019230769230769273,WIN
2025,2025-08-09,776817,ML,HOME,Milwaukee Brewers,New York Mets,2025-08-09 23:55:00+00:00,HistoricalBasic,2025-08-09 23:59:00+00:00,True,-116.0,-116.0,-216.0,0.03703703703703709,WIN
2025,2025-08-10,776799,ML,AWAY,Milwaukee Brewers,New York Mets,2025-08-10 23:55:00+00:00,HistoricalBasic,2025-08-10 23:59:00+00:00,True,-125.0,-125.0,-225.0,0.05555555555555558,WIN
2025,2025-08-12,776775,ML,AWAY,St. Louis Cardinals,Colorado Rockies,2025-08-12 23:55:00+00:00,HistoricalBasic,2025-08-12 23:59:00+00:00,True,-188.0,-188.0,-348.0,0.26816239316239315,WIN
2025,2025-08-12,776769,ML,AWAY,Houston Astros,Boston Red Sox,2025-08-12 23:55:00+00:00,HistoricalBasic,2025-08-12 23:59:00+00:00,True,-370.0,-370.0,-470.0,0.2872340425531915,WIN
2025,2025-08-12,776764,ML,HOME,Texas Rangers,Arizona Diamondbacks,2025-08-12 23:55:00+00:00,HistoricalBasic,2025-08-12 23:59:00+00:00,True,-330.0,-330.0,-188.0,0.18066500096098403,WIN
2025,2025-08-16,776711,ML,AWAY,San Francisco Giants,Tampa Bay Rays,2025-08-16 23:55:00+00:00,HistoricalBasic,2025-08-16 23:59:00+00:00,True,-112.0,-112.0,-216.0,0.038105808361080296,WIN
2025,2025-08-16,776720,ML,AWAY,Cleveland Guardians,Atlanta Braves,2025-08-16 23:55:00+00:00,HistoricalBasic,2025-08-16 23:59:00+00:00,True,-108.0,-108.0,-6.0,0.014280274181264319,WIN
2025,2025-08-17,776710,ML,HOME,Toronto Blue Jays,Texas Rangers,2025-08-17 23:55:00+00:00,HistoricalBasic,2025-08-17 23:59:00+00:00,True,-120.0,-120.0,-220.0,0.045454545454545414,WIN
